Date,Open,High,Low,Close,Adj Close,Volume
1/5/2017,169.25,169.389999,167.259995,168.699997,160.817673,2682300
1/6/2017,168.690002,169.919998,167.520004,169.529999,161.608887,2945500
1/9/2017,169.470001,169.800003,167.619995,167.649994,159.816727,3184700
1/10/2017,167.979996,168.089996,165.339996,165.520004,157.78627,4118700
1/11/2017,166.050003,167.759995,165.600006,167.75,159.912048,3599500
1/12/2017,167.770004,168.009995,165.559998,167.949997,160.102707,2927500
1/13/2017,167.970001,168.479996,166.880005,167.339996,159.52121,2875400
1/17/2017,166.690002,168.179993,166.119995,167.889999,160.045517,3302900
1/18/2017,167.449997,168.589996,166.690002,166.800003,159.006439,4007800
1/19/2017,166.960007,167.449997,165.800003,166.809998,159.015976,6963400
1/20/2017,167.809998,170.639999,166,170.550003,162.581238,12690000
1/23/2017,170.080002,171.25,170.009995,171.029999,163.038803,5478200
1/24/2017,171.360001,176,171.160004,175.899994,167.681244,6952400
1/25/2017,176.259995,179.25,176.130005,178.289993,169.959579,5922500
1/26/2017,178.059998,178.880005,177.509995,178.660004,170.312302,3063900
1/27/2017,178.470001,179.199997,177.300003,177.300003,169.015839,3482300
1/30/2017,176.979996,177.070007,174.580002,175.800003,167.585938,4094800
1/31/2017,175.050003,175.580002,173.610001,174.520004,166.365753,4139000
2/1/2017,175,175.699997,172.889999,174.289993,166.146484,2795700
2/2/2017,174.229996,174.970001,173.550003,174.580002,166.422928,2620500
2/3/2017,175,176.339996,174.889999,175.820007,167.604996,3309300
2/6/2017,175.309998,175.979996,174.380005,175.860001,167.643127,2650800
2/7/2017,176,178.619995,175.899994,178.460007,170.121658,3873500
2/8/2017,177.5,177.5,175.880005,176.169998,169.26651,2913100
2/9/2017,176.169998,177.800003,175.910004,177.210007,170.265778,3090700
2/10/2017,177.369995,178.869995,176.759995,178.679993,171.678146,2930700
2/13/2017,179.240005,179.899994,178.839996,179.360001,172.331512,3093400
2/14/2017,178.570007,180.130005,178.350006,180.130005,173.07135,2567900
2/15/2017,180.199997,181.919998,179.809998,181.679993,174.560608,2914300
2/16/2017,181.449997,182.789993,180.869995,181.429993,174.320404,3251500
2/17/2017,181.25,181.570007,180,180.669998,173.590179,3552500
2/21/2017,180.600006,180.789993,179.119995,180.259995,173.196259,4480300
2/22/2017,180.089996,181.339996,180.089996,181.149994,174.051376,3020500
2/23/2017,182,182.5,180.919998,181.649994,174.531769,2282500
2/24/2017,180.210007,181.490005,179.889999,181.350006,174.243546,3300100
2/27/2017,181.190002,181.25,179.279999,179.399994,172.369934,3691300
2/28/2017,179.380005,180.630005,179.350006,179.820007,172.773499,3273400
3/1/2017,180.479996,182.550003,180.029999,181.949997,174.820038,3005600
3/2/2017,181.880005,181.880005,180.429993,180.529999,173.455673,2918200
3/3/2017,180.529999,181.320007,179.759995,180.050003,172.994492,1822000
3/6/2017,179.720001,180.990005,179.570007,180.470001,173.398041,3204400
3/7/2017,180.710007,181.289993,180.199997,180.380005,173.311554,2980500
3/8/2017,180.75,180.949997,179.300003,179.449997,172.417984,3557400
3/9/2017,179.149994,179.25,175.880005,177.179993,170.236938,5444100
3/10/2017,178.210007,179.490005,177.419998,177.830002,170.861481,3100300
3/13/2017,177.850006,178.059998,176.419998,176.460007,169.545181,3482200
3/14/2017,176.179993,176.820007,175.210007,175.720001,168.834167,3147500
3/15/2017,175.710007,176.279999,174.75,175.809998,168.920624,3815500
3/16/2017,178.460007,179,176.820007,177.240005,170.294601,4311800
3/17/2017,176.289993,176.789993,175.649994,175.649994,168.766907,5921000
3/20/2017,175.649994,176.179993,175.139999,175.699997,168.814941,2476100
3/21/2017,176.009995,176.229996,173.839996,173.880005,167.066284,3927700
3/22/2017,174.039993,175.059998,172.800003,174.779999,167.931,3450500
3/23/2017,174.429993,175.669998,173.559998,174.820007,167.969421,3740000
3/24/2017,175.119995,175.5,173.389999,173.830002,167.018219,3221700
3/27/2017,172.690002,174.160004,172.089996,173.770004,166.960587,3259000
3/28/2017,173.940002,175,173,174.509995,167.67157,3523900
3/29/2017,174.300003,174.490005,173.460007,173.940002,167.123917,3085600
3/30/2017,173.860001,174.589996,173.690002,173.860001,167.047058,3168300
3/31/2017,173.979996,174.949997,173.690002,174.139999,167.316086,2913700
4/3/2017,173.820007,174.869995,173.380005,174.5,167.661957,4286500
4/4/2017,173.520004,174.960007,173.259995,174.520004,167.681198,3108900
4/5/2017,174.699997,176.330002,172.809998,172.880005,166.105469,6238900
4/6/2017,173.470001,173.470001,172.25,172.449997,165.692291,3435400
4/7/2017,172.080002,172.929993,171.279999,172.139999,165.394455,3588300
4/10/2017,172.529999,172.559998,171,171.199997,164.491272,3789900
4/11/2017,170.649994,171.229996,168.979996,170.580002,163.895599,4891900
4/12/2017,171.039993,171.199997,170.020004,170.660004,163.972443,3276900
4/13/2017,169.919998,171.360001,169.529999,169.529999,162.886719,3205500
4/17/2017,169.75,171.300003,169.619995,171.100006,164.395218,3720200
4/18/2017,170.789993,171.690002,169.830002,170.050003,163.386368,6345500
4/19/2017,161.759995,162.639999,159.600006,161.690002,155.353958,19284300
4/20/2017,161.320007,162.399994,160.5,162.300003,155.940048,6486800
4/21/2017,162.050003,162.110001,160.380005,160.380005,154.095291,5607800
4/24/2017,161.289993,161.570007,160.419998,160.75,154.450775,5320600
4/25/2017,161.779999,162.039993,160.380005,160.389999,154.104889,4860400
4/26/2017,160.529999,161.100006,159.889999,160.059998,153.787827,4327800
4/27/2017,160.289993,160.479996,159.630005,160.320007,154.037643,4122600
4/28/2017,160.5,160.589996,159.699997,160.289993,154.008804,4154100
5/1/2017,160.050003,160.419998,158.699997,158.839996,152.615631,4935300
5/2/2017,159.440002,159.490005,158.639999,159.100006,152.865433,3208200
5/3/2017,158.740005,159.449997,158.520004,158.630005,152.413864,3993300
5/4/2017,158.889999,159.139999,158.360001,159.050003,152.817398,4280600
5/5/2017,153.520004,155.779999,153,155.050003,148.974152,12521300
5/8/2017,152.800003,153.470001,152.199997,153.029999,148.469635,7492000
5/9/2017,152.600006,153.100006,151.559998,152.110001,147.577072,6853000
5/10/2017,151.649994,152.369995,151.130005,151.25,146.742691,4999900
5/11/2017,151.050003,151.149994,149.789993,150.649994,146.160553,5627900
5/12/2017,150.300003,151.259995,150,150.369995,145.888901,3715300
5/15/2017,150.619995,151.830002,150.449997,151.509995,146.994934,4245500
5/16/2017,151.660004,153.990005,151.660004,153.679993,149.100266,5513700
5/17/2017,153.300003,154.139999,150.889999,150.929993,146.432205,5191500
5/18/2017,150.860001,151.330002,150.110001,150.779999,146.286697,3274200
5/19/2017,151.009995,152.460007,150.889999,151.979996,147.450928,5643000
5/22/2017,152.100006,152.839996,151.600006,152.639999,148.091263,3302100
5/23/2017,152.570007,153.679993,151.919998,152.029999,147.499435,2564500
5/24/2017,152.210007,152.759995,151.229996,152.509995,147.965134,3732400
5/25/2017,153.25,153.729996,152.949997,153.199997,148.634567,2582700
5/26/2017,152.850006,153,152.059998,152.490005,147.94574,2443300
5/30/2017,151.949997,152.669998,151.589996,151.729996,147.208374,3666000
5/31/2017,152.029999,152.800003,151.649994,152.630005,148.081573,3543400
6/1/2017,152.800003,152.869995,151.630005,152.669998,148.120361,2918100
6/2/2017,153.070007,153.199997,151.800003,152.050003,147.518845,3585700
6/5/2017,151.820007,152.929993,151.679993,152.410004,147.868118,3975100
6/6/2017,152,152.889999,152,152.369995,147.8293,3797200
6/7/2017,153.050003,154.199997,150.800003,150.979996,146.480728,4865700
6/8/2017,151,152.820007,150.919998,152.100006,147.567352,3709000
6/9/2017,152,154.259995,151.880005,154.100006,149.507767,4361500
6/12/2017,154.190002,157.199997,154.020004,155.179993,150.555557,6471500
6/13/2017,155.440002,155.479996,154.149994,154.25,149.65329,3523500
6/14/2017,153.970001,154.940002,152.940002,153.809998,149.226395,3049100
6/15/2017,153.289993,154.690002,153.289993,154.220001,149.624176,4654300
6/16/2017,154.229996,155.419998,152.970001,155.380005,150.749619,6742000
6/19/2017,155.509995,155.860001,154.539993,154.839996,150.225693,4629500
6/20/2017,154.479996,155.389999,154.25,154.949997,150.332428,4481700
6/21/2017,155.789993,155.789993,153.389999,153.789993,149.206985,3959700
6/22/2017,154.550003,154.990005,153.690002,154.399994,149.798813,2376500
6/23/2017,154.339996,154.679993,153.800003,154.110001,149.517456,3282200
6/26/2017,154.710007,155.75,154.630005,155.229996,150.60408,2153500
6/27/2017,155,155.339996,154.5,154.75,150.138382,2386500
6/28/2017,155.149994,155.550003,154.779999,155.320007,150.691406,2221000
6/29/2017,155.350006,155.740005,153.619995,154.130005,149.53688,3262200
6/30/2017,154.279999,154.5,153.139999,153.830002,149.245789,3571500
7/3/2017,153.580002,156.029999,153.520004,155.580002,150.943649,2822500
7/5/2017,155.770004,155.889999,153.630005,153.669998,149.090576,3564400
7/6/2017,153.360001,153.830002,152.229996,152.360001,147.819611,2757500
7/7/2017,152.619995,153.490005,152.139999,152.940002,148.382324,2460100
7/10/2017,152.910004,153.889999,152.630005,153.419998,148.848022,3206200
7/11/2017,153.259995,153.649994,152.050003,153.190002,148.624878,3447500
7/12/2017,153.479996,154.240005,153.050003,153.699997,149.11969,3097900
7/13/2017,153.699997,154.190002,153.190002,153.630005,149.051773,2476100
7/14/2017,154.009995,154.619995,153.399994,154.240005,149.6436,3256400
7/17/2017,153.589996,153.880005,152.240005,153.009995,148.450226,4762600
7/18/2017,152.360001,154.289993,152,154,149.410736,7566800
7/19/2017,150.020004,150.25,146.710007,147.529999,143.13353,14293600
7/20/2017,147.529999,148.830002,147.029999,147.660004,143.259674,7212200
7/21/2017,147.589996,147.869995,146.509995,147.080002,142.69696,6509500
7/24/2017,147,147.039993,145.800003,145.990005,141.639435,3877600
7/25/2017,146.570007,147.490005,146.029999,146.190002,141.833496,4208900
7/26/2017,146.270004,146.460007,144.470001,145.360001,141.028214,3932400
7/27/2017,145,145.399994,143.639999,145.070007,140.746857,6430800
7/28/2017,144.809998,145.039993,143.839996,144.289993,139.990097,3054800
7/31/2017,144.380005,144.929993,144.169998,144.669998,140.358765,4355700
8/1/2017,145,145.669998,144.720001,145.300003,140.970016,3219500
8/2/2017,145.119995,145.289993,144.220001,144.449997,140.14534,3540900
8/3/2017,144.429993,145.339996,144.429993,144.940002,140.620728,3035400
8/4/2017,145,145.389999,144.399994,145.160004,140.834183,2549400
8/7/2017,145,145.089996,142.75,143.470001,139.194534,4618300
8/8/2017,142,142.759995,142,142.110001,139.331802,3298700
8/9/2017,141.75,142.029999,141.190002,141.770004,138.998444,2925800
8/10/2017,141.639999,142.419998,141.229996,141.839996,139.067078,4525400
8/11/2017,142.449997,142.589996,141.520004,141.839996,139.067078,3004000
8/14/2017,142,142.759995,141.940002,142.320007,139.537689,2222300
8/15/2017,142.550003,143.339996,140.580002,142.070007,139.292587,4681500
8/16/2017,141.789993,142.910004,141.610001,142.5,139.714172,3287800
8/17/2017,142.520004,142.889999,140.699997,140.699997,137.949356,4422100
8/18/2017,140.869995,141.149994,139.580002,139.699997,136.968918,4152700
8/21/2017,139.589996,140.419998,139.130005,140.330002,137.586594,3190700
8/22/2017,140.639999,141.149994,140.380005,141.009995,138.253296,2544400
8/23/2017,140.699997,143.050003,140.679993,142.139999,139.361206,4048300
8/24/2017,142.5,143.679993,142.25,142.940002,140.145569,3592200
8/25/2017,143.300003,144.190002,143.25,143.740005,140.929932,2872900
8/28/2017,144.110001,144.559998,142.389999,142.509995,139.723969,5134500
8/29/2017,142.100006,143.429993,141.899994,143.139999,140.34166,3009500
8/30/2017,143.259995,143.279999,142.410004,142.559998,139.772995,2736000
8/31/2017,143.020004,143.660004,142.630005,143.029999,140.23381,3656400
9/1/2017,142.979996,144.5,142.979996,144.080002,141.26329,3351700
9/5/2017,143.5,144.360001,142.699997,143.039993,140.243622,3097500
9/6/2017,143.880005,144.470001,143.5,143.820007,141.008377,3273300
9/7/2017,144.100006,144.639999,142.410004,142.899994,140.106339,4188200
9/8/2017,143.149994,143.149994,141.639999,142.449997,139.665146,3366200
9/11/2017,143.539993,145.130005,143.009995,144.860001,142.02803,4613400
9/12/2017,145.110001,146.369995,144.509995,145.759995,142.910431,5238100
9/13/2017,145.350006,146.289993,145.339996,145.990005,143.135941,4101000
9/14/2017,145.860001,146.380005,145.509995,145.539993,142.694733,3756900
9/15/2017,144.820007,145.169998,144.080002,144.820007,141.988815,7397200
9/18/2017,144.809998,145.479996,144.270004,144.550003,141.724091,3019500
9/19/2017,144.789993,144.979996,144.220001,144.389999,141.567215,3464400
9/20/2017,144.929993,145.880005,144.419998,145.880005,143.028107,5447500
9/21/2017,145.649994,145.889999,145.100006,145.259995,142.420212,2555600
9/22/2017,145.589996,145.589996,144.589996,145.130005,142.292755,2792300
9/25/2017,145.119995,146.029999,144.910004,145.869995,143.01828,5213100
9/26/2017,146.360001,147.419998,145.940002,146.559998,143.694809,4488600
9/27/2017,146.679993,146.899994,145.029999,145.660004,142.812393,3502700
9/28/2017,145.660004,145.860001,144.210007,145.660004,142.812393,2774800
9/29/2017,145.449997,145.690002,144.919998,145.080002,142.243729,2654700
10/2/2017,145.350006,146.869995,145.210007,146.660004,143.792847,2973200
10/3/2017,146.690002,147.199997,146.339996,146.779999,143.910492,2302700
10/4/2017,147,147.020004,146.110001,146.479996,143.616348,2244400
10/5/2017,146.679993,147.539993,146.479996,146.720001,143.851669,2686500
10/6/2017,146.639999,146.850006,146.320007,146.479996,143.616348,2623200
10/9/2017,146.5,147.789993,146.350006,147.389999,144.508575,2682600
10/10/2017,147.710007,148.949997,147.649994,148.5,145.596863,4032600
10/11/2017,148.399994,148.470001,147.279999,147.619995,144.73407,3702200
10/12/2017,147.559998,147.889999,146.770004,147.029999,144.155609,3264300
10/13/2017,147.479996,147.850006,146.940002,147.100006,144.224243,2506600
10/16/2017,147.220001,147.669998,146.509995,146.830002,143.959518,3052100
10/17/2017,146.630005,147.119995,146.179993,146.539993,143.675186,6372400
10/18/2017,157.119995,161.229996,156.949997,159.529999,156.41124,30490200
10/19/2017,159.800003,160.960007,159.089996,160.899994,157.754456,9914200
10/20/2017,161.070007,162.479996,159.770004,162.070007,158.901581,7868800
10/23/2017,162.050003,162.509995,159.539993,159.550003,156.430862,5779400
10/24/2017,159.649994,159.699997,155.169998,155.880005,152.832596,8194700
10/25/2017,156.009995,156.369995,153.059998,153.5,150.499115,6921100
10/26/2017,154.309998,155.119995,153.539993,153.600006,150.597183,4300500
10/27/2017,154.539993,154.630005,152.910004,153.679993,150.675598,4895200
10/30/2017,153.759995,154.589996,152.710007,154.360001,151.342316,4210400
10/31/2017,154.330002,154.929993,152.929993,154.059998,151.048172,4328300
11/1/2017,154.100006,154.899994,153.830002,154.029999,151.018768,3240200
11/2/2017,154.179993,154.490005,152.910004,153.350006,150.352066,3397600
11/3/2017,153.419998,153.470001,151.490005,151.580002,148.616669,4431800
11/6/2017,151.770004,151.820007,150.279999,150.839996,147.891129,4498400
11/7/2017,151.369995,151.509995,150.5,151.350006,148.391159,3701100
11/8/2017,151.600006,151.789993,150.279999,151.570007,148.606857,4634400
11/9/2017,149.929993,151.800003,149.860001,150.300003,148.83461,4776500
11/10/2017,150.649994,150.889999,149.139999,149.160004,147.705734,4307300
11/13/2017,148.880005,149,147.919998,148.399994,146.953125,5107500
11/14/2017,147.949997,148.970001,147.490005,148.889999,147.438354,3758000
11/15/2017,148,148.710007,146.210007,147.100006,145.665817,4773300
11/16/2017,147.729996,149.649994,147.5,149.119995,147.666107,5446500
11/17/2017,149.339996,150.149994,148.830002,148.970001,147.517578,4916500
11/20/2017,150.639999,151.949997,149.899994,150.509995,149.042557,5676500
11/21/2017,151.300003,152.449997,151.199997,151.949997,150.468521,3756200
11/22/2017,152,152.389999,151.330002,151.770004,150.290283,3213600
11/24/2017,151.949997,152.199997,151.330002,151.839996,150.359589,1193000
11/27/2017,152.059998,152.490005,151.619995,151.979996,150.49823,3374000
11/28/2017,152.350006,152.929993,151.699997,152.470001,150.983459,3973700
11/29/2017,152.809998,153.610001,152.169998,153.550003,152.052933,5098700
11/30/2017,153.649994,154.410004,153.080002,153.970001,152.468826,6500800
12/1/2017,154.399994,155.020004,152.910004,154.759995,153.251114,5567900
12/4/2017,155.960007,156.800003,155.070007,156.460007,154.934555,4664300
12/5/2017,156.449997,156.740005,154.679993,155.350006,153.835373,5068000
12/6/2017,154.100006,156.220001,154.089996,154.100006,152.597565,3410700
12/7/2017,153.589996,154.449997,153.259995,153.570007,152.072739,3771100
12/8/2017,154.979996,155.029999,153.550003,154.809998,153.300629,3520300
12/11/2017,155.460007,155.889999,154.570007,155.410004,153.894791,4102700
12/12/2017,157.300003,157.850006,155.160004,156.740005,155.211823,6321800
12/13/2017,156.600006,156.729996,153.889999,153.910004,152.409424,5661600
12/14/2017,154.600006,155.110001,153.699997,154,152.498535,4637400
12/15/2017,153.610001,153.800003,152.029999,152.5,151.013153,11279900
12/18/2017,153.589996,154.179993,153.210007,153.330002,151.835068,5092800
12/19/2017,154.050003,154.169998,153.089996,153.229996,151.736038,4116400
12/20/2017,153.649994,153.889999,152.779999,152.949997,151.458771,3785700
12/21/2017,153.169998,153.460007,151.490005,151.5,150.022903,4153900
12/22/2017,151.820007,153,151.5,152.5,151.013153,2990600
12/26/2017,152.509995,153.860001,152.5,152.830002,151.339951,2479000
12/27/2017,152.949997,153.179993,152.610001,153.130005,151.637024,2149300
12/28/2017,153.199997,154.119995,153.199997,154.039993,152.538132,2687600
12/29/2017,154.169998,154.720001,153.419998,153.419998,151.924194,3327100
1/2/2018,154.5,154.809998,153.539993,154.25,152.746094,4202500
1/3/2018,157.339996,159.809998,156.330002,158.490005,156.944763,9441600
1/4/2018,159.649994,162.320007,159.369995,161.699997,160.123459,7556200
1/5/2018,162.440002,162.899994,161.100006,162.490005,160.905762,5195800
1/8/2018,162.660004,163.910004,161.699997,163.470001,161.876205,5237500
1/9/2018,163.899994,164.529999,163.059998,163.830002,162.232697,4341800
1/10/2018,162.910004,164.330002,162.5,164.179993,162.579269,4174100
1/11/2018,164.800003,164.940002,163.300003,164.199997,162.599091,3794500
1/12/2018,164.020004,164.740005,163.029999,163.139999,161.549423,5031900
1/16/2018,165.100006,165.289993,163.350006,163.850006,162.252502,7794200
1/17/2018,168.009995,169.130005,167.259995,168.649994,167.005692,11710000
1/18/2018,170,171.130005,168.149994,169.119995,167.471115,14259300
1/19/2018,164.460007,165.399994,161.300003,162.369995,160.786926,21172500
1/22/2018,161.509995,163.979996,161.110001,162.600006,161.014694,8480800
1/23/2018,162.820007,166.259995,162.509995,166.25,164.629105,7466200
1/24/2018,166.75,168.720001,164.820007,165.369995,163.757675,5645000
1/25/2018,165.910004,166.779999,165.190002,165.470001,163.856705,3302500
1/26/2018,166.119995,167.410004,165.789993,167.339996,165.708466,3787900
1/29/2018,167.449997,168.389999,166.009995,166.800003,165.173737,3517000
1/30/2018,166.210007,166.770004,163.160004,163.619995,162.024734,4902300
1/31/2018,163.75,164.990005,162.759995,163.699997,162.103958,4072800
2/1/2018,163.190002,164.130005,161.899994,162.399994,160.816635,4434200
2/2/2018,161.699997,162,158.869995,159.029999,157.479492,5251900
2/5/2018,157.889999,158.5,150,152.529999,151.042862,8746600
2/6/2018,150.289993,155.490005,149.110001,155.339996,153.82547,9867700
2/7/2018,154.169998,155.339996,153.279999,153.850006,152.350006,6149200
2/8/2018,152.479996,153.160004,147.5,147.589996,147.589996,6779100
2/9/2018,148.600006,150.539993,144.399994,149.509995,149.509995,7828300
2/12/2018,150.899994,152.399994,150.300003,151.399994,151.399994,5881400
2/13/2018,150.899994,151.179993,149.639999,150.75,150.75,4891000
2/14/2018,150.190002,155,150,154.759995,154.759995,5479000
2/15/2018,155.5,156.860001,153.699997,156.009995,156.009995,5623600
2/16/2018,155.710007,157.789993,155.690002,156.179993,156.179993,4282900
2/20/2018,155.789993,155.960007,153.869995,155.160004,155.160004,4489600
2/21/2018,155.429993,156.789993,153.899994,153.960007,153.960007,3728600
2/22/2018,154.5,155.039993,152.789993,153.179993,153.179993,4024600
2/23/2018,154.300003,155.850006,154.070007,155.520004,155.520004,3256100
2/26/2018,155.809998,158.880005,155.509995,158.580002,158.580002,3610300
2/27/2018,158.460007,159.779999,156.529999,156.550003,156.550003,4237300
2/28/2018,157.5,158.139999,155.800003,155.830002,155.830002,3803500
3/1/2018,155.529999,156.970001,152.789993,153.809998,153.809998,4039300
3/2/2018,152.789993,154.759995,151.880005,154.490005,154.490005,3261100
3/5/2018,154.119995,157.490005,153.75,156.949997,156.949997,3670600
3/6/2018,157.279999,157.889999,155.160004,155.720001,155.720001,3685700
3/7/2018,155,158.830002,154.729996,158.320007,158.320007,4607700
3/8/2018,159,159.570007,155.070007,156.210007,156.210007,6455600
3/9/2018,157.470001,159.580002,157.300003,159.309998,159.309998,5022200
3/12/2018,159.639999,161.020004,158.869995,160.259995,160.259995,5063500
3/13/2018,160.089996,162.110001,158.809998,159.320007,159.320007,4185600
3/14/2018,160.169998,160.679993,157.740005,158.119995,158.119995,3631800
3/15/2018,158.710007,161.25,158.520004,159.610001,159.610001,3870600
3/16/2018,160.059998,161.979996,159.639999,160.259995,160.259995,9262700
3/19/2018,159.710007,159.889999,156.449997,157.350006,157.350006,5482000
3/20/2018,157.520004,157.929993,155.289993,156.199997,156.199997,4336700
3/21/2018,156.570007,158.199997,155.919998,156.690002,156.690002,3482200
3/22/2018,155,155.25,152,152.089996,152.089996,4746300
3/23/2018,152.25,152.580002,148.539993,148.889999,148.889999,4440900
3/26/2018,151.210007,153.660004,150.279999,153.369995,153.369995,4103900
3/27/2018,153.949997,154.869995,151.160004,151.910004,151.910004,3883700
3/28/2018,152.070007,153.860001,151.889999,152.520004,152.520004,3664800
3/29/2018,153.070007,153.889999,151.080002,153.429993,153.429993,3420000
4/2/2018,153.339996,153.380005,148.429993,150.070007,150.070007,5150400
4/3/2018,150.800003,151,148.300003,149.850006,149.850006,4135700
4/4/2018,147.889999,154.470001,147.449997,154.119995,154.119995,4805300
4/5/2018,154.440002,154.919998,153.339996,154.029999,154.029999,3185400
4/6/2018,153.460007,153.949997,149.539993,150.570007,150.570007,3672900
4/9/2018,151.800003,154.660004,151.740005,152.690002,152.690002,4413200
4/10/2018,155.029999,156.600006,154.75,155.389999,155.389999,3806400
4/11/2018,154.369995,155.779999,153.880005,155.360001,155.360001,3306500
4/12/2018,156.75,158.979996,156.669998,158.070007,158.070007,5639400
4/13/2018,158.669998,159.220001,155.910004,156.710007,156.710007,4057100
4/16/2018,157.990005,159.139999,157.669998,157.889999,157.889999,4186800
4/17/2018,158.820007,162,158.509995,160.910004,160.910004,10207500
4/18/2018,152.139999,152.630005,148.259995,148.789993,148.789993,20381700
4/19/2018,149.190002,149.210007,146.619995,147.699997,147.699997,8086100
4/20/2018,147.899994,147.970001,144.509995,144.899994,144.899994,8265600
4/23/2018,145.029999,145.960007,144.330002,145.860001,145.860001,5315600
4/24/2018,146.509995,147.300003,144.529999,145.559998,145.559998,4916500
4/25/2018,145.789993,146.399994,144.110001,145.940002,145.940002,7326400
4/26/2018,146.600006,147.360001,146.199997,146.720001,146.720001,4265800
4/27/2018,146.839996,147.25,145.660004,146.479996,146.479996,3197100
